Category,Risk Factor,Effect on Cesarean Risk,Evidence Link
Maternal,Nulliparity (first-time parent),↑ Risk,https://pmc.ncbi.nlm.nih.gov/articles/PMC9796356/
Maternal,Advanced maternal age (>35),↑ Risk,https://www.researchgate.net/publication/47298100_Advanced_Maternal_Age_and_the_Risk_of_Cesarean_Birth_A_Systematic_Review
Maternal,BMI ≥30 (Obesity),↑ Risk,https://bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-018-1687-3
Maternal,Diabetes (pre-gestational or gestational),↑ Risk,https://link.springer.com/article/10.1007/s13300-022-01352-7
Maternal,Hypertension/pre-eclampsia,↑ Risk,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1529966/full
Maternal,Short maternal stature,↑ Risk,https://www.researchgate.net/publication/47298100_Advanced_Maternal_Age_and_the_Risk_of_Cesarean_Birth_A_Systematic_Review
Maternal,History of cesarean birth,↑ or ↓ Risk,https://www.verywellhealth.com/vbac-birth-7551920
Maternal,Sedentary lifestyle,↑ Risk,https://bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-021-03627-6
Fetal,Suspected macrosomia (>4000–4500g),↑ Risk,https://www.ncbi.nlm.nih.gov/books/NBK557577/
Fetal,"Malpresentation (breech, transverse)",↑ Risk,https://emedicine.medscape.com/article/263424-overview
Fetal,Fetal anomalies,↑ Risk,https://www.ncbi.nlm.nih.gov/books/NBK546707/
Fetal,Multiple gestation,↑ Risk,https://pmc.ncbi.nlm.nih.gov/articles/PMC2947574/
Labor/Intrapartum,Induction of labor,↑ Risk,https://pmc.ncbi.nlm.nih.gov/articles/PMC6366839/
Labor/Intrapartum,Arrest of dilation or descent,↑ Risk,https://www.aafp.org/pubs/afp/issues/2021/0115/p90.html
Labor/Intrapartum,Chorioamnionitis,↑ Risk,https://en.wikipedia.org/wiki/Chorioamnionitis
Labor/Intrapartum,Non-reassuring fetal heart tones,↑ Risk,https://www.ajog.org/article/s0002-9378%2814%2900055-6/fulltext
Labor/Intrapartum,Epidural use,Slight ↑ Risk,https://www.aafp.org/pubs/afp/issues/2007/0601/p1671.html
System/Provider,Hospital policies/practices,Variable,https://jamanetwork.com/journals/jama/fullarticle/2779198
System/Provider,Provider type & philosophy,Variable,https://bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-020-03095-4
System/Provider,Time of day/week (night/weekend delivery),↑ Risk,https://www.sciencedirect.com/science/article/abs/pii/S0022480419305219
